"Subject" "Item" "Word" "WordItem" "CorrectIncorrect" "Condition" "Speaker" "Environment" "PresentationOrder" "Gender" "Age" "PaidUnpaid" "Term" "PPVTPercentile" "RhythmPercentAcc" "StroopRTdifference" "WARRMAudWordSpan" "PPVTScale" "RhythmScale" "StroopScale" "WARRMScale" "Environment.Contrasts" "QuietNoise" "EnergeticInfo"
"63" "P06" 16 "from" "16from" 0 "NNEner" "NN" "Ener" 70 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"64" "P06" 16 "justice" "16justice" 0 "NNEner" "NN" "Ener" 70 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"65" "P06" 17 "bush" "17bush" 1 "NNQuiet" "NN" "Quiet" 48 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"66" "P06" 17 "is" "17is" 1 "NNQuiet" "NN" "Quiet" 48 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"67" "P06" 17 "chosen" "17chosen" 1 "NNQuiet" "NN" "Quiet" 48 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"68" "P06" 17 "after" "17after" 1 "NNQuiet" "NN" "Quiet" 48 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"69" "P06" 18 "butcher" "18butcher" 1 "NaEner" "Na" "Ener" 53 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"70" "P06" 18 "in" "18in" 1 "NaEner" "Na" "Ener" 53 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"71" "P06" 18 "the" "18the" 0 "NaEner" "Na" "Ener" 53 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"72" "P06" 18 "middle" "18middle" 0 "NaEner" "Na" "Ener" 53 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"73" "P06" 19 "career" "19career" 1 "NNQuiet" "NN" "Quiet" 24 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"74" "P06" 19 "despite" "19despite" 1 "NNQuiet" "NN" "Quiet" 24 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"75" "P06" 19 "research" "19research" 1 "NNQuiet" "NN" "Quiet" 24 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"76" "P06" 20 "cheap" "20cheap" 0 "NNQuiet" "NN" "Quiet" 77 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"77" "P06" 20 "control" "20control" 0 "NNQuiet" "NN" "Quiet" 77 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"78" "P06" 20 "in" "20in" 0 "NNQuiet" "NN" "Quiet" 77 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"79" "P06" 20 "paper" "20paper" 1 "NNQuiet" "NN" "Quiet" 77 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Quiet" -0.5 0
"80" "P06" 21 "commit" "21commit" 0 "NNEner" "NN" "Ener" 44 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"81" "P06" 21 "such" "21such" 0 "NNEner" "NN" "Ener" 44 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"82" "P06" 21 "used" "21used" 0 "NNEner" "NN" "Ener" 44 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
"83" "P06" 21 "advice" "21advice" 1 "NNEner" "NN" "Ener" 44 "Female" 23 "Paid" "Summer" 94 0.692307692 36.27 3.33 1.3372567884727 0.0367969039410568 -1.47204552354274 -0.759699811877647 "Ener" 0.25 -0.5
